,crs_dep_time,taxi_out,crs_arr_time,taxi_in
0,1300,15.0,1444,13.0
1,630,18.0,854,8.0
2,1500,28.0,1709,8.0
3,2041,50.0,2159,6.0
4,2140,15.0,2257,17.0
5,1215,16.0,1511,4.0
6,545,22.0,714,5.0
7,1330,14.0,1829,6.0
8,1707,12.0,2100,8.0
9,2027,13.0,18,6.0
10,500,39.0,918,5.0
11,1535,12.0,1707,11.0
12,750,14.0,1145,6.0
13,600,11.0,750,12.0
14,1405,17.0,1530,8.0
15,752,13.0,1028,6.0
16,1012,11.0,1228,9.0
17,745,40.0,1003,6.0
18,655,27.0,1043,12.0
19,2000,20.0,2159,6.0
20,946,23.0,1125,8.0
21,1800,29.0,2043,4.0
22,1850,18.0,2040,5.0
23,1953,9.0,2013,10.0
24,2135,45.0,2339,9.0
25,2039,32.0,2253,5.0
26,2015,21.0,2321,7.0
27,1730,15.0,1908,9.0
28,1000,15.0,1201,10.0
29,629,17.0,825,5.0
30,1917,10.0,2134,7.0
31,2305,11.0,609,6.0
32,745,28.0,1336,10.0
33,2239,18.0,2346,6.0
34,1820,10.0,2136,10.0
35,1325,14.0,1441,7.0
36,1530,26.0,1704,7.0
37,2229,21.0,23,7.0
38,1926,10.0,2111,16.0
39,930,15.0,1111,14.0
40,2230,12.0,607,6.0
41,1429,27.0,1524,3.0
42,1610,9.0,1722,4.0
43,2030,15.0,2325,5.0
44,2355,12.0,138,7.0
45,1004,22.0,1202,11.0
46,900,18.0,1311,7.0
47,1430,15.0,2022,26.0
48,1050,12.0,1325,9.0
49,1205,12.0,1545,4.0
50,920,10.0,1119,3.0
51,2230,25.0,2332,5.0
52,1735,8.0,2121,14.0
53,805,11.0,939,6.0
54,2034,19.0,2156,7.0
55,1750,11.0,1925,9.0
56,605,16.0,745,4.0
57,1625,9.0,1835,6.0
58,735,19.0,950,8.0
59,710,19.0,850,10.0
60,1725,8.0,1900,4.0
61,1115,7.0,1245,2.0
62,1225,10.0,1345,4.0
63,555,25.0,655,7.0
64,935,10.0,1030,7.0
65,2040,7.0,2130,5.0
66,1420,11.0,1510,6.0
67,1550,22.0,1755,10.0
68,615,22.0,820,7.0
69,700,16.0,945,6.0
70,725,18.0,910,3.0
71,640,19.0,800,5.0
72,1640,15.0,1755,4.0
73,830,15.0,1025,7.0
74,745,21.0,825,5.0
75,1500,12.0,1535,20.0
76,1035,13.0,1250,13.0
77,1530,6.0,1745,5.0
78,1720,7.0,1935,7.0
79,625,20.0,625,5.0
80,1205,12.0,1200,33.0
81,2110,9.0,2105,5.0
82,545,14.0,726,4.0
83,2140,16.0,2341,8.0
84,1245,20.0,2039,4.0
85,1000,17.0,1143,12.0
86,1810,11.0,2357,4.0
87,1332,19.0,1501,5.0
88,1957,22.0,2137,9.0
89,2315,34.0,734,4.0
90,2120,19.0,651,7.0
91,845,10.0,1003,12.0
92,2047,12.0,2313,4.0
93,1850,13.0,2154,11.0
94,900,11.0,1124,11.0
95,2218,17.0,45,13.0
96,2058,12.0,2355,7.0
97,823,36.0,934,11.0
98,1658,16.0,1811,6.0
99,1215,23.0,1507,5.0
100,1215,19.0,1511,7.0
101,755,16.0,1449,14.0
102,1747,15.0,1950,12.0
103,1520,13.0,1701,5.0
104,1741,22.0,2013,8.0
105,510,24.0,723,10.0
