,dep_delay,arr_delay,difference
1,3.0,1.0,2.0
2,28.0,18.0,10.0
3,12.0,32.0,-20.0
8,21.0,3.0,18.0
12,51.0,28.0,23.0
13,7.0,-9.0,16.0
17,87.0,97.0,-10.0
19,38.0,20.0,18.0
20,38.0,30.0,8.0
21,16.0,12.0,4.0
22,10.0,-8.0,18.0
23,7.0,-7.0,14.0
25,2.0,-9.0,11.0
28,5.0,-21.0,26.0
32,1.0,1.0,0.0
34,15.0,-4.0,19.0
35,20.0,16.0,4.0
36,12.0,4.0,8.0
40,1.0,-14.0,15.0
41,8.0,11.0,-3.0
42,7.0,-14.0,21.0
43,27.0,7.0,20.0
44,6.0,-1.0,7.0
51,179.0,181.0,-2.0
53,1.0,-17.0,18.0
55,10.0,-1.0,11.0
56,1.0,-11.0,12.0
58,5.0,-4.0,9.0
59,17.0,14.0,3.0
60,51.0,42.0,9.0
65,57.0,37.0,20.0
66,2.0,-8.0,10.0
67,39.0,30.0,9.0
73,39.0,24.0,15.0
77,33.0,28.0,5.0
78,22.0,21.0,1.0
80,17.0,42.0,-25.0
81,32.0,26.0,6.0
83,8.0,-1.0,9.0
85,14.0,-7.0,21.0
96,31.0,2.0,29.0
99,139.0,121.0,18.0
101,26.0,35.0,-9.0
103,32.0,12.0,20.0
105,281.0,281.0,0.0
108,2.0,-9.0,11.0
110,74.0,93.0,-19.0
111,41.0,42.0,-1.0
112,36.0,24.0,12.0
115,49.0,40.0,9.0
116,39.0,52.0,-13.0
117,67.0,57.0,10.0
118,29.0,63.0,-34.0
120,11.0,5.0,6.0
121,9.0,18.0,-9.0
122,36.0,25.0,11.0
125,19.0,19.0,0.0
126,12.0,14.0,-2.0
127,22.0,2.0,20.0
128,1.0,1.0,0.0
129,25.0,25.0,0.0
130,145.0,149.0,-4.0
132,9.0,10.0,-1.0
134,31.0,26.0,5.0
138,388.0,383.0,5.0
142,100.0,94.0,6.0
143,71.0,62.0,9.0
144,13.0,20.0,-7.0
145,51.0,44.0,7.0
147,98.0,78.0,20.0
150,42.0,31.0,11.0
151,4.0,-1.0,5.0
152,6.0,2.0,4.0
154,13.0,6.0,7.0
161,132.0,133.0,-1.0
162,224.0,225.0,-1.0
163,139.0,176.0,-37.0
164,3.0,-1.0,4.0
165,1.0,0.0,1.0
166,626.0,611.0,15.0
168,8.0,6.0,2.0
170,105.0,93.0,12.0
171,120.0,121.0,-1.0
172,10.0,6.0,4.0
174,5.0,3.0,2.0
175,1.0,-19.0,20.0
176,12.0,7.0,5.0
177,4.0,11.0,-7.0
180,8.0,-2.0,10.0
185,169.0,170.0,-1.0
186,170.0,148.0,22.0
188,34.0,35.0,-1.0
198,2.0,1.0,1.0
201,35.0,38.0,-3.0
202,91.0,57.0,34.0
206,8.0,-26.0,34.0
207,97.0,72.0,25.0
212,3.0,18.0,-15.0
216,32.0,39.0,-7.0
217,33.0,20.0,13.0
219,1.0,-18.0,19.0
220,6.0,6.0,0.0
221,2.0,-12.0,14.0
222,12.0,29.0,-17.0
224,4.0,-8.0,12.0
226,200.0,209.0,-9.0
231,5.0,0.0,5.0
238,37.0,27.0,10.0
239,8.0,-16.0,24.0
240,25.0,39.0,-14.0
254,13.0,12.0,1.0
255,23.0,-35.0,58.0
259,1.0,6.0,-5.0
261,44.0,19.0,25.0
265,40.0,29.0,11.0
266,1.0,-4.0,5.0
268,4.0,15.0,-11.0
270,7.0,2.0,5.0
278,1.0,-2.0,3.0
283,7.0,5.0,2.0
284,27.0,32.0,-5.0
285,6.0,2.0,4.0
288,2.0,3.0,-1.0
294,16.0,17.0,-1.0
304,1.0,-5.0,6.0
308,2.0,-6.0,8.0
309,8.0,1.0,7.0
310,28.0,-4.0,32.0
312,17.0,1.0,16.0
313,32.0,15.0,17.0
315,21.0,15.0,6.0
316,14.0,2.0,12.0
318,31.0,15.0,16.0
319,6.0,-20.0,26.0
320,12.0,1.0,11.0
321,54.0,42.0,12.0
322,2.0,0.0,2.0
324,94.0,85.0,9.0
325,18.0,3.0,15.0
329,50.0,42.0,8.0
335,3.0,-1.0,4.0
337,4.0,-20.0,24.0
338,5.0,-13.0,18.0
339,29.0,18.0,11.0
341,3.0,-12.0,15.0
346,15.0,5.0,10.0
350,25.0,8.0,17.0
353,14.0,26.0,-12.0
365,5.0,-7.0,12.0
366,6.0,1.0,5.0
367,16.0,6.0,10.0
370,9.0,11.0,-2.0
372,50.0,55.0,-5.0
376,4.0,5.0,-1.0
377,3.0,1.0,2.0
381,23.0,-15.0,38.0
382,26.0,14.0,12.0
385,7.0,-11.0,18.0
387,14.0,-36.0,50.0
388,47.0,20.0,27.0
389,3.0,-27.0,30.0
391,8.0,-12.0,20.0
393,41.0,53.0,-12.0
395,87.0,49.0,38.0
396,20.0,-17.0,37.0
399,26.0,-8.0,34.0
400,80.0,117.0,-37.0
402,2.0,-23.0,25.0
403,7.0,-27.0,34.0
404,26.0,0.0,26.0
405,253.0,226.0,27.0
407,16.0,0.0,16.0
410,26.0,31.0,-5.0
414,5.0,-1.0,6.0
416,1.0,-16.0,17.0
417,11.0,-5.0,16.0
421,99.0,77.0,22.0
424,1.0,-2.0,3.0
426,62.0,-3.0,65.0
429,15.0,13.0,2.0
431,25.0,14.0,11.0
433,9.0,-17.0,26.0
434,119.0,155.0,-36.0
439,4.0,-11.0,15.0
441,5.0,-9.0,14.0
446,6.0,-16.0,22.0
450,2.0,-10.0,12.0
451,7.0,6.0,1.0
462,5.0,-19.0,24.0
463,10.0,4.0,6.0
465,40.0,21.0,19.0
466,2.0,-16.0,18.0
468,48.0,23.0,25.0
471,2.0,-27.0,29.0
474,85.0,67.0,18.0
475,3.0,-8.0,11.0
476,4.0,-8.0,12.0
477,28.0,11.0,17.0
484,12.0,17.0,-5.0
488,5.0,1.0,4.0
489,55.0,57.0,-2.0
490,52.0,45.0,7.0
491,9.0,4.0,5.0
492,23.0,6.0,17.0
493,7.0,5.0,2.0
494,19.0,2.0,17.0
495,19.0,4.0,15.0
496,20.0,18.0,2.0
497,25.0,13.0,12.0
499,32.0,34.0,-2.0
500,67.0,63.0,4.0
502,19.0,3.0,16.0
503,8.0,-9.0,17.0
504,63.0,51.0,12.0
505,23.0,24.0,-1.0
506,2.0,3.0,-1.0
507,25.0,19.0,6.0
509,25.0,2.0,23.0
510,46.0,31.0,15.0
511,32.0,34.0,-2.0
512,15.0,-2.0,17.0
513,52.0,37.0,15.0
515,7.0,0.0,7.0
518,23.0,1.0,22.0
520,3.0,-6.0,9.0
522,18.0,17.0,1.0
525,6.0,-19.0,25.0
526,1.0,-4.0,5.0
527,4.0,-6.0,10.0
528,3.0,5.0,-2.0
529,27.0,0.0,27.0
530,8.0,10.0,-2.0
533,48.0,31.0,17.0
539,16.0,4.0,12.0
540,27.0,-2.0,29.0
545,100.0,102.0,-2.0
548,276.0,270.0,6.0
550,21.0,15.0,6.0
555,8.0,-1.0,9.0
560,15.0,7.0,8.0
561,9.0,-2.0,11.0
563,31.0,28.0,3.0
567,81.0,50.0,31.0
569,2.0,22.0,-20.0
572,237.0,230.0,7.0
573,10.0,28.0,-18.0
577,5.0,63.0,-58.0
578,8.0,-7.0,15.0
580,7.0,16.0,-9.0
581,22.0,12.0,10.0
582,187.0,178.0,9.0
583,167.0,171.0,-4.0
584,6.0,-8.0,14.0
585,1.0,-1.0,2.0
588,1.0,8.0,-7.0
589,3.0,-21.0,24.0
590,73.0,62.0,11.0
592,2.0,-12.0,14.0
596,23.0,30.0,-7.0
598,13.0,3.0,10.0
600,1.0,-27.0,28.0
615,24.0,-4.0,28.0
620,4.0,-8.0,12.0
621,122.0,116.0,6.0
622,112.0,136.0,-24.0
623,109.0,107.0,2.0
629,231.0,203.0,28.0
630,12.0,-7.0,19.0
647,56.0,38.0,18.0
661,9.0,-3.0,12.0
662,4.0,-3.0,7.0
664,13.0,11.0,2.0
665,17.0,17.0,0.0
669,17.0,29.0,-12.0
670,5.0,-15.0,20.0
677,35.0,19.0,16.0
681,26.0,19.0,7.0
683,8.0,-7.0,15.0
684,38.0,69.0,-31.0
685,2.0,6.0,-4.0
686,4.0,-2.0,6.0
694,2.0,6.0,-4.0
703,16.0,6.0,10.0
704,25.0,10.0,15.0
708,96.0,104.0,-8.0
709,18.0,32.0,-14.0
710,7.0,0.0,7.0
711,10.0,-4.0,14.0
713,1.0,-1.0,2.0
714,1.0,-2.0,3.0
718,15.0,34.0,-19.0
719,20.0,6.0,14.0
720,10.0,10.0,0.0
721,7.0,-13.0,20.0
723,40.0,39.0,1.0
724,8.0,-2.0,10.0
725,9.0,5.0,4.0
728,13.0,21.0,-8.0
730,57.0,35.0,22.0
731,76.0,72.0,4.0
732,15.0,-5.0,20.0
734,1.0,1.0,0.0
735,185.0,188.0,-3.0
736,67.0,59.0,8.0
737,7.0,11.0,-4.0
739,7.0,-13.0,20.0
740,1.0,4.0,-3.0
742,8.0,-6.0,14.0
743,14.0,-1.0,15.0
744,427.0,411.0,16.0
745,54.0,34.0,20.0
746,61.0,31.0,30.0
749,13.0,2.0,11.0
750,3.0,-22.0,25.0
751,179.0,149.0,30.0
753,13.0,-4.0,17.0
755,22.0,17.0,5.0
757,26.0,18.0,8.0
758,30.0,28.0,2.0
761,226.0,239.0,-13.0
763,57.0,39.0,18.0
764,30.0,25.0,5.0
765,3.0,-10.0,13.0
766,17.0,2.0,15.0
768,10.0,-2.0,12.0
769,21.0,9.0,12.0
775,77.0,76.0,1.0
777,3.0,-11.0,14.0
778,1.0,-3.0,4.0
782,770.0,751.0,19.0
783,22.0,12.0,10.0
784,15.0,6.0,9.0
785,133.0,135.0,-2.0
786,1.0,5.0,-4.0
787,1.0,12.0,-11.0
790,69.0,70.0,-1.0
791,33.0,37.0,-4.0
792,14.0,20.0,-6.0
799,25.0,27.0,-2.0
800,8.0,13.0,-5.0
803,7.0,4.0,3.0
806,6.0,9.0,-3.0
810,1.0,1.0,0.0
816,582.0,582.0,0.0
818,151.0,195.0,-44.0
819,173.0,170.0,3.0
820,3.0,-2.0,5.0
821,51.0,35.0,16.0
822,2.0,-1.0,3.0
824,119.0,102.0,17.0
825,171.0,168.0,3.0
827,42.0,41.0,1.0
828,332.0,314.0,18.0
829,72.0,55.0,17.0
830,68.0,65.0,3.0
831,30.0,15.0,15.0
834,75.0,88.0,-13.0
835,6.0,-9.0,15.0
836,122.0,115.0,7.0
837,128.0,127.0,1.0
839,241.0,264.0,-23.0
840,129.0,147.0,-18.0
841,114.0,128.0,-14.0
846,142.0,124.0,18.0
848,4.0,11.0,-7.0
850,16.0,4.0,12.0
851,174.0,200.0,-26.0
852,12.0,13.0,-1.0
854,25.0,-1.0,26.0
855,1.0,-25.0,26.0
856,322.0,304.0,18.0
857,33.0,117.0,-84.0
860,25.0,44.0,-19.0
863,12.0,13.0,-1.0
864,3.0,4.0,-1.0
865,21.0,9.0,12.0
866,1.0,10.0,-9.0
871,10.0,10.0,0.0
872,14.0,-2.0,16.0
873,55.0,34.0,21.0
874,39.0,50.0,-11.0
876,2.0,1.0,1.0
877,2.0,-33.0,35.0
878,31.0,28.0,3.0
879,1.0,3.0,-2.0
882,3.0,-2.0,5.0
883,2.0,12.0,-10.0
885,11.0,31.0,-20.0
888,57.0,46.0,11.0
889,4.0,26.0,-22.0
890,12.0,-3.0,15.0
891,42.0,29.0,13.0
894,55.0,40.0,15.0
895,13.0,9.0,4.0
896,18.0,59.0,-41.0
897,6.0,71.0,-65.0
899,30.0,56.0,-26.0
904,3.0,-26.0,29.0
907,27.0,48.0,-21.0
911,11.0,4.0,7.0
915,29.0,16.0,13.0
917,23.0,10.0,13.0
918,4.0,0.0,4.0
919,13.0,63.0,-50.0
921,45.0,51.0,-6.0
923,65.0,83.0,-18.0
924,88.0,70.0,18.0
925,66.0,67.0,-1.0
929,95.0,75.0,20.0
930,95.0,91.0,4.0
931,86.0,82.0,4.0
933,35.0,40.0,-5.0
934,120.0,106.0,14.0
935,58.0,48.0,10.0
936,65.0,57.0,8.0
942,25.0,19.0,6.0
943,20.0,5.0,15.0
946,92.0,79.0,13.0
952,68.0,46.0,22.0
957,6.0,22.0,-16.0
960,28.0,0.0,28.0
968,5.0,20.0,-15.0
974,5.0,5.0,0.0
976,28.0,-4.0,32.0
980,4.0,1.0,3.0
983,1.0,-14.0,15.0
984,4.0,-23.0,27.0
985,31.0,29.0,2.0
986,57.0,41.0,16.0
987,108.0,59.0,49.0
988,53.0,38.0,15.0
989,11.0,20.0,-9.0
990,11.0,5.0,6.0
991,6.0,18.0,-12.0
992,4.0,-12.0,16.0
993,21.0,12.0,9.0
994,82.0,66.0,16.0
998,19.0,-16.0,35.0
1002,21.0,-24.0,45.0
1004,3.0,-4.0,7.0
1005,2.0,-12.0,14.0
1010,2.0,-2.0,4.0
1012,108.0,103.0,5.0
1013,29.0,-3.0,32.0
1016,23.0,15.0,8.0
1021,45.0,27.0,18.0
1022,21.0,13.0,8.0
1023,28.0,14.0,14.0
1024,65.0,45.0,20.0
1031,174.0,173.0,1.0
1032,278.0,253.0,25.0
1033,124.0,122.0,2.0
1034,140.0,122.0,18.0
1035,36.0,18.0,18.0
1036,58.0,63.0,-5.0
1037,56.0,51.0,5.0
1038,109.0,80.0,29.0
1039,112.0,118.0,-6.0
1041,199.0,218.0,-19.0
1042,367.0,361.0,6.0
1043,6.0,18.0,-12.0
1044,217.0,215.0,2.0
1045,85.0,90.0,-5.0
1046,88.0,76.0,12.0
1047,110.0,100.0,10.0
1048,138.0,102.0,36.0
1049,232.0,214.0,18.0
1050,117.0,122.0,-5.0
