,fl_date,origin,weather_delay,weather
17,2018-01-01,ORD,87.0,Clear
118,2018-01-01,ORD,1.0,Clear
121,2018-01-01,XNA,9.0,Clear
122,2018-01-01,LEX,8.0,Overcast
134,2018-01-01,ORD,26.0,Clear
161,2018-01-02,DFW,16.0,Clear
410,2018-01-03,DTW,26.0,Clear
522,2018-01-03,ORD,17.0,Partly cloudy
572,2018-01-04,HNL,230.0,Clear
582,2018-01-04,ATL,135.0,Clear
596,2018-01-04,AUS,5.0,Clear
629,2018-01-04,CAK,203.0,Light snow
775,2018-01-05,SAV,76.0,Clear
828,2018-01-05,BOS,38.0,Heavy snow
834,2018-01-05,PIT,75.0,Overcast
846,2018-01-05,JFK,59.0,Partly cloudy
856,2018-01-05,JFK,304.0,Partly cloudy
857,2018-01-05,JFK,33.0,Partly cloudy
860,2018-01-05,JFK,25.0,Partly cloudy
923,2018-01-06,JFK,6.0,Patchy moderate snow
987,2018-01-06,LGA,59.0,Clear
994,2018-01-06,JFK,7.0,Patchy moderate snow
1061,2018-01-06,JFK,125.0,Patchy moderate snow
1093,2018-01-07,SYR,16.0,Patchy moderate snow
1139,2018-01-07,ORD,11.0,Cloudy
1178,2018-01-07,ORD,855.0,Cloudy
1214,2018-01-07,DCA,127.0,Clear
1259,2018-01-07,ORD,8.0,Cloudy
1279,2018-01-07,XNA,10.0,Clear
1286,2018-01-07,RAP,17.0,Light rain
1296,2018-01-07,LFT,1.0,Partly cloudy
1370,2018-01-07,ORD,15.0,Cloudy
1371,2018-01-07,ORD,14.0,Cloudy
1406,2018-01-08,ATL,16.0,Cloudy
1412,2018-01-08,ATL,4.0,Cloudy
1424,2018-01-08,ATL,16.0,Cloudy
1426,2018-01-08,COS,70.0,Clear
1435,2018-01-08,ATL,123.0,Cloudy
1441,2018-01-08,ATL,14.0,Cloudy
1446,2018-01-08,ATL,4.0,Cloudy
1450,2018-01-08,ATL,5.0,Cloudy
1458,2018-01-08,GEG,6.0,Patchy sleet possible
1582,2018-01-08,PHL,75.0,Clear
1674,2018-01-09,RDU,377.0,Mist
1723,2018-01-09,DAY,83.0,Mist
1893,2018-01-10,JAN,278.0,Fog
1975,2018-01-10,CLT,58.0,Fog
2399,2018-01-12,IND,17.0,Moderate rain
2482,2018-01-13,PIT,22.0,Overcast
2500,2018-01-13,BNA,49.0,Heavy snow
2550,2018-01-13,BTV,295.0,Ice pellets
2625,2018-01-14,ORD,11.0,Clear
2779,2018-01-15,DEN,30.0,Partly cloudy
2780,2018-01-15,FSD,31.0,Overcast
2861,2018-01-15,CMH,44.0,Overcast
2912,2018-01-15,BOS,9.0,Partly cloudy
2961,2018-01-15,ORD,9.0,Heavy snow
3123,2018-01-16,MKE,171.0,Heavy snow
3185,2018-01-17,DFW,159.0,Clear
3192,2018-01-17,ATL,163.0,Heavy snow
3194,2018-01-17,DFW,199.0,Clear
3197,2018-01-17,ATL,59.0,Heavy snow
3198,2018-01-17,MSY,183.0,Blizzard
3199,2018-01-17,ATL,156.0,Heavy snow
3200,2018-01-17,ATL,66.0,Heavy snow
3204,2018-01-17,ATL,105.0,Heavy snow
3208,2018-01-17,ATL,148.0,Heavy snow
3215,2018-01-17,ATL,107.0,Heavy snow
3216,2018-01-17,ATL,221.0,Heavy snow
3227,2018-01-17,ATL,58.0,Heavy snow
3229,2018-01-17,ATL,25.0,Heavy snow
3230,2018-01-17,ATL,53.0,Heavy snow
3231,2018-01-17,ATL,36.0,Heavy snow
3233,2018-01-17,ATL,111.0,Heavy snow
3246,2018-01-17,ATL,314.0,Heavy snow
3247,2018-01-17,ATL,341.0,Heavy snow
3255,2018-01-17,ATL,42.0,Heavy snow
3256,2018-01-17,ATL,178.0,Heavy snow
3257,2018-01-17,ATL,37.0,Heavy snow
3263,2018-01-17,PNS,151.0,Heavy freezing drizzle
